update_id,price_type,price,value
C10,1,700,6
C11,1,1150,10
C12,1,1600,14
C13,1,2050,18
C14,1,2500,22
C15,1,0,26
B10,1,2950,46
B11,1,3400,51
B12,1,3850,56
B13,1,4300,61
B14,1,4750,66
B15,1,0,71
A10,1,5200,101
A11,1,5650,107
A12,1,6100,113
A13,1,6550,119
A14,1,7000,125
A15,1,0,131
S10,1,7450,171
S11,1,7900,179
S12,1,8350,187
S13,1,8800,195
S14,1,9250,203
S15,1,0,211
C20,1,700,0.005
C21,1,1150,0.01
C22,1,1600,0.015
C23,1,2050,0.02
C24,1,2500,0.025
C25,1,0,0.03
B20,1,2950,0.04
B21,1,3400,0.045
B22,1,3850,0.05
B23,1,4300,0.055
B24,1,4750,0.06
B25,1,0,0.065
A20,1,5200,0.075
A21,1,5650,0.08
A22,1,6100,0.085
A23,1,6550,0.09
A24,1,7000,0.095
A25,1,0,0.1
S20,1,7450,0.11
S21,1,7900,0.12
S22,1,8350,0.13
S23,1,8800,0.14
S24,1,9250,0.15
S25,1,0,0.16
C30,1,700,8
C31,1,1150,10
C32,1,1600,12
C33,1,2050,14
C34,1,2500,16
C35,1,0,18
B30,1,2950,23
B31,1,3400,25
B32,1,3850,27
B33,1,4300,29
B34,1,4750,31
B35,1,0,33
A30,1,5200,38
A31,1,5650,40
A32,1,6100,42
A33,1,6550,44
A34,1,7000,46
A35,1,0,48
S30,1,7450,53
S31,1,7900,55
S32,1,8350,57
S33,1,8800,59
S34,1,9250,61
S35,1,0,63
