update_id,price_type,price,value
C10,1,300,2
C11,1,450,4
C12,1,600,6
C13,1,750,8
C14,1,900,10
C15,1,0,12
B10,1,1050,24
B11,1,1200,27
B12,1,1350,30
B13,1,1500,33
B14,1,1650,36
B15,1,0,39
A10,1,1800,53
A11,1,1950,57
A12,1,2100,61
A13,1,2250,65
A14,1,2400,69
A15,1,0,73
S10,1,2550,68
S11,1,2700,76
S12,1,2850,84
S13,1,3000,92
S14,1,3150,100
S15,1,0,108
C20,1,300,0.01
C21,1,450,0.015
C22,1,600,0.02
C23,1,750,0.025
C24,1,900,0.03
C25,1,0,0.035
B20,1,1050,0.055
B21,1,1200,0.06
B22,1,1350,0.065
B23,1,1500,0.07
B24,1,1650,0.075
B25,1,0,0.08
A20,1,1800,0.1
A21,1,1950,0.11
A22,1,2100,0.12
A23,1,2250,0.13
A24,1,2400,0.14
A25,1,0,0.15
S20,1,2550,0.17
S21,1,2700,0.18
S22,1,2850,0.19
S23,1,3000,0.2
S24,1,3150,0.21
S25,1,0,0.22
C30,1,300,3
C31,1,450,5
C32,1,600,7
C33,1,750,9
C34,1,900,11
C35,1,0,13
B30,1,1050,16
B31,1,1200,18
B32,1,1350,20
B33,1,1500,22
B34,1,1650,24
B35,1,0,26
A30,1,1800,30
A31,1,1950,32
A32,1,2100,34
A33,1,2250,36
A34,1,2400,38
A35,1,0,40
S30,1,2550,45
S31,1,2700,47
S32,1,2850,49
S33,1,3000,51
S34,1,3150,53
S35,1,0,55
